 Название поля,Тип,Формат,Описание
 -------------------------------------------------------------,-------,--------------------,--------------------------------------------------------------------------------------------------------
 DOCUMENTNAME,М,Число положительное,Название документа (220 —заказ)
 NUMBER,М,Строка (50),Номер заказа
 DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
 ACTION,О,«4»; «5»; «27»; «29»,4 — поставка изменена; 5 — замена документа; 29 — поставка принята; 27 — поставка не принята
 VERSION,O,Число положительное,Версия заказа
 PROMO,O,«0»; «1»,Акция: 0 — нет; 1 — есть
 DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Дата поставки
 DELIVERYTIME,O,Время (чч:мм),Время поставки
 SHIPMENTDATE,O,Дата (ГГГГ-ММ-ДД),Дата отгрузки6
 SHIPMENTTIME,O,Время (чч:мм),Время отгрузки
 CAMPAIGNNUMBER,O,Строка (70),Номер договора на поставку
 CAMPAIGNNUMBERDATE,O,Дата (ГГГГ-ММ-ДД),Дата договора
 CURRENCY,O,Строка (3),Код валюты
 TRANSPORTQUANTITY,O,Число положительное,Количество машин
 ORDERREFERENCENUMBER,Строка (16),Уникальный номер заказа для отслеживания
 LIMES,,Детали транспорта
 LIMESNAME,O,Строка (70),Название рампы
 DATEFROM,O,Дата (ГГГГ-ММ-ДД),Дата прибытия транспорта
 TIMEFROM,O,Время (чч:мм),Время прибытия транспорта
 DATETO,O,Дата (ГГГГ-ММ-ДД),Дата окончания отгрузки
 TIMETO,O,Время (чч:мм),Время окончания отгрузки
